num_ind,exact_exp_homo_b, simple_exp_homo_b,max_diff,fractional_max_diff
161,40.12461059,40.25,0.125389408,0.000778816
162,40.374613,40.5,0.125386997,0.000773994
163,40.62461538,40.75,0.125384615,0.000769231
164,40.87461774,41,0.125382263,0.000764526
165,41.12462006,41.25,0.125379939,0.000759878
166,41.37462236,41.5,0.125377644,0.000755287
167,41.62462462,41.75,0.125375375,0.000750751
168,41.87462687,42,0.125373134,0.000746269
169,42.12462908,42.25,0.12537092,0.00074184
170,42.37463127,42.5,0.125368732,0.000737463
171,42.62463343,42.75,0.125366569,0.000733138
172,42.87463557,43,0.125364431,0.000728863
173,43.12463768,43.25,0.125362319,0.000724638
174,43.37463977,43.5,0.125360231,0.000720461
175,43.62464183,43.75,0.125358166,0.000716332
176,43.87464387,44,0.125356125,0.000712251
177,44.12464589,44.25,0.125354108,0.000708215
178,44.37464789,44.5,0.125352113,0.000704225
179,44.62464986,44.75,0.12535014,0.00070028
180,44.87465181,45,0.125348189,0.000696379
181,45.12465374,45.25,0.12534626,0.000692521
182,45.37465565,45.5,0.125344353,0.000688705
183,45.62465753,45.75,0.125342466,0.000684932
184,45.8746594,46,0.125340599,0.000681199
185,46.12466125,46.25,0.125338753,0.000677507
186,46.37466307,46.5,0.125336927,0.000673854
187,46.62466488,46.75,0.125335121,0.000670241
188,46.87466667,47,0.125333333,0.000666667
189,47.12466844,47.25,0.125331565,0.00066313
190,47.37467018,47.5,0.125329815,0.000659631
191,47.62467192,47.75,0.125328084,0.000656168
192,47.87467363,48,0.125326371,0.000652742
193,48.12467532,48.25,0.125324675,0.000649351
194,48.374677,48.5,0.125322997,0.000645995
195,48.62467866,48.75,0.125321337,0.000642674
196,48.87468031,49,0.125319693,0.000639386
197,49.12468193,49.25,0.125318066,0.000636132
198,49.37468354,49.5,0.125316456,0.000632911
199,49.62468514,49.75,0.125314861,0.000629723
200,49.87468672,50,0.125313283,0.000626566
