,n_ton,avg_homo_b,exp_homo_b,exp_minus_avg
68,71,2.5,2.4874874874874875,-0.012512512512512508
69,72,2.0,2.5585585585585573,0.5585585585585573
70,73,2.0,2.6306306306306304,0.6306306306306304
71,75,3.0,2.777777777777778,-0.22222222222222188
72,76,2.0,2.8528528528528523,0.8528528528528523
73,77,4.0,2.9289289289289293,-1.0710710710710707
74,78,4.0,3.0060060060060065,-0.9939939939939935
75,79,4.0,3.0840840840840844,-0.9159159159159156
76,80,2.0,3.163163163163163,1.163163163163163
77,82,2.0,3.3243243243243237,1.3243243243243237
78,84,3.0,3.4894894894894892,0.4894894894894892
79,85,3.0,3.5735735735735736,0.5735735735735736
80,86,5.0,3.6586586586586587,-1.3413413413413413
81,87,4.5,3.744744744744744,-0.755255255255256
82,88,4.0,3.8318318318318307,-0.16816816816816926
83,89,4.0,3.919919919919921,-0.08008008008007916
84,90,5.0,4.0090090090090085,-0.9909909909909915
85,94,5.0,4.375375375375375,-0.6246246246246248
86,96,5.0,4.564564564564565,-0.4354354354354353
87,97,10.0,4.6606606606606595,-5.3393393393393405
88,98,4.0,4.757757757757759,0.7577577577577594
89,99,5.0,4.855855855855855,-0.14414414414414534
90,100,7.0,4.954954954954955,-2.045045045045045
91,101,3.0,5.055055055055053,2.0550550550550533
92,104,3.0,5.361361361361361,2.361361361361361
93,106,8.0,5.570570570570572,-2.429429429429428
94,112,11.0,6.222222222222223,-4.777777777777777
95,113,5.0,6.334334334334331,1.334334334334331
96,116,9.0,6.676676676676675,-2.323323323323325
97,117,3.0,6.792792792792794,3.7927927927927936
98,119,9.0,7.028028028028028,-1.9719719719719722
99,120,8.0,7.147147147147146,-0.8528528528528536
100,121,9.0,7.267267267267267,-1.7327327327327327
101,124,9.0,7.633633633633633,-1.3663663663663668
102,129,11.0,8.264264264264263,-2.7357357357357373
103,144,11.0,10.306306306306313,-0.693693693693687
